community,doses_supplied
ALBANY PARK,29227
ARCHER HEIGHTS,7444
ARMOUR SQUARE,12879
ASHBURN,8871
AUBURN GRESHAM,1388
AUSTIN,65199
AVALON PARK,4795
AVONDALE,20530
BELMONT CRAGIN,67800
BEVERLY,13266
BRIDGEPORT,13948
BRIGHTON PARK,86982
BURNSIDE,218
CALUMET HEIGHTS,31131
CHATHAM,21653
CHICAGO LAWN,34845
CLEARING,7085
DOUGLAS,9411
DUNNING,8102
EAST GARFIELD PARK,5541
EAST SIDE,4341
EDGEWATER,39722
ENGLEWOOD,70829
FOREST GLEN,3169
FULLER PARK,1358
GAGE PARK,10672
GARFIELD RIDGE,26262
GRAND BOULEVARD,28281
GREATER GRAND CROSSING,1459
HEGEWISCH,7039
HERMOSA,1485
HUMBOLDT PARK,18061
HYDE PARK,153506
IRVING PARK,24636
JEFFERSON PARK,27553
KENWOOD,5368
LAKE VIEW,168478
LINCOLN PARK,72247
LINCOLN SQUARE,82532
LOGAN SQUARE,77715
LOOP,73968
LOWER WEST SIDE,25909
MCKINLEY PARK,15069
MONTCLARE,5807
MORGAN PARK,17396
MOUNT GREENWOOD,14230
NEAR NORTH SIDE,249968
NEAR SOUTH SIDE,11366
NEAR WEST SIDE,510589
NEW CITY,322769
NORTH CENTER,23459
NORTH LAWNDALE,55926
NORTH PARK,20410
NORWOOD PARK,27476
OAKLAND,4034
OHARE,11062
PORTAGE PARK,56450
PULLMAN,9757
RIVERDALE,2841
ROGERS PARK,63782
ROSELAND,41166
SOUTH CHICAGO,19988
SOUTH DEERING,10479
SOUTH LAWNDALE,107648
SOUTH SHORE,23021
UPTOWN,72011
WASHINGTON HEIGHTS,6753
WEST ELSDON,11555
WEST GARFIELD PARK,5000
WEST LAWN,18351
WEST PULLMAN,3066
WEST RIDGE,41704
WEST TOWN,97554
WOODLAWN,5788
